,lat,lng,cluster
1959,35.2129438,126.838263,3
1965,35.21280492,126.838263,3
371,35.21269383,126.83829078,3
651,35.2130827,126.84026282,3
375,35.21269383,126.83829078,3
363,35.2128791,126.8393209,3
1111,35.21269383,126.83829078,3
1805,35.21288826,126.83892961,3
868,35.21272162,126.83967955,3
844,35.21272162,126.83967955,3
412,35.21208278,126.83812415,3
128,35.21272162,126.83967955,3
1645,35.21271132978568,126.83825828846494,3
134,35.21172174,126.84001288,3
726,35.21172174,126.83973512,3
1331,35.21208278,126.83812415,3
1678,35.21291455194878,126.8388974140791,3
499,35.21269383,126.83829078,3
805,35.21269383,126.83829078,3
150,35.21274938,126.83851298,3
180,35.21269383,126.83829078,3
179,35.21269383,126.83829078,3
769,35.21274938,126.83851298,3
749,35.21274938,126.83851298,3
251,35.21269383,126.83829078,3
162,35.21269383,126.83829078,3
1295,35.21338823,126.84056834,3
1292,35.21158287,126.839874,3
168,35.21274938,126.83851298,3
1472,35.21172174,126.83973512,3
1474,35.21208278,126.83812415,3
829,35.21208278,126.83812415,3
227,35.21288827,126.83931846,3
1788,35.2129438,126.838263,3
1795,35.21288826,126.83892961,3
1783,35.21288826,126.83892961,3
686,35.21208278,126.83812415,3
821,35.21327713,126.84042947,3
1781,35.21305489,126.83784637,3
900,35.21288827,126.83931846,3
1778,35.2129438,126.838263,3
1276,35.21272162,126.83967955,3
1777,35.2129438,126.838263,3
691,35.21291455194878,126.8388974140791,3
1759,35.21269383,126.83829078,3
1628,35.20908383,126.88025938,4
252,35.21047252,126.87764847,4
958,35.21086137,126.87778733,4
956,35.21166686,126.87950938,4
1400,35.21047252,126.87764847,4
587,35.20947267,126.87989829,4
630,35.21047252,126.87764847,4
1577,35.21139145164912,126.88065928643437,4
224,35.21047252,126.87764847,4
975,35.21139145164912,126.88065928643437,4
2031,35.21065963767038,126.876626986289,4
1574,35.20463993,126.88281482,4
1997,35.20991706,126.87959275,4
1999,35.21180573,126.87953715,4
1538,35.21047252,126.87764847,4
1449,35.21086136,126.87762068,4
420,35.20908383,126.88025938,4
2037,35.21138908,126.87770399,4
2004,35.21069469,126.87617637,4
1804,35.21180573,126.87953715,4
1533,35.20908383,126.88025938,4
1858,35.2112733,126.8788002,4
1871,35.21180573,126.87953715,4
945,35.21047252,126.87764847,4
1309,35.21047252,126.87764847,4
723,35.21000041,126.88139815,4
1729,35.21063915,126.87653745,4
1726,35.21047252,126.87764847,4
